,,åªîNìxî[ïtó¶,,,,ëŒè€é“äÑçáÅiñ∆èúÅEóPó\ó¶Åj,,,,,,,,
éÌï ,îNóÓ,ëSäzî[ït,ÇSï™ÇÃÇRñ∆èú,îºäzñ∆èú,ÇSï™ÇÃÇPñ∆èú,ëSäzî[ïtëŒè€,ÇSï™ÇÃÇRñ∆èú,îºäzñ∆èú,ÇSï™ÇÃÇPñ∆èú,ñ@íËëSäzñ∆èú,ê\êøëSäzñ∆èú,äwê∂î[ïtì¡ó·,î[ïtóPó\,éYãxñ∆èú
2,20,0.690715192450644,0.444640704840389,0.306022374714927,0.267111353468042,0.387502444384434,0.000602172165368,0.000578892313614,0.000153647021576,0.022056883541766,0.029144822405771,0.526306232481912,0.033654905685561,0.000000000000000
2,21,0.815179989734327,0.449281048909171,0.320019491975357,0.292373939772750,0.336577303248093,0.000919894746927,0.001074295685238,0.000650158167949,0.027879600752658,0.045152973194695,0.538443508324164,0.049302265880276,0.000000000000000
2,22,0.799464719491103,0.442117538180255,0.312786225924182,0.271757872120286,0.319998045222437,0.001373135415299,0.001670184946871,0.000893065043307,0.029182720916216,0.050970824944878,0.546292294822618,0.049619728688373,0.000000000000000
2,23,0.718419083240685,0.455822101205445,0.324782208600481,0.261693543815102,0.389471845133418,0.003264496105461,0.004225183308491,0.002983168328236,0.047745485440844,0.102393085818410,0.347130258858237,0.102786477006903,0.000000000000000
2,24,0.678567908273437,0.497928943996931,0.383900251504943,0.309409759407997,0.422660558990812,0.004397258280890,0.005416250001558,0.003826314945536,0.063199804913456,0.133435993205993,0.247166781315793,0.119897038345962,0.000000000000000
2,25,0.627157872689537,0.489285632135163,0.372078080459843,0.293359886747421,0.452991047116730,0.005611896806609,0.006595770426620,0.004712640003799,0.078405451524563,0.160842172474843,0.158922219461444,0.131918802185392,0.000000000000000
2,26,0.601691566473285,0.513321044510293,0.398463027461760,0.345674477880174,0.477595799118057,0.006838465096716,0.007668382850650,0.005590920090656,0.091734404943891,0.181315109561853,0.092731002044736,0.136525916293441,0.000000000000000
2,27,0.596007629493298,0.490063364702781,0.405539668804449,0.332437885319876,0.494941145779271,0.007960556531102,0.008527493605053,0.006346372659162,0.102035639883957,0.193588252661910,0.052483731789466,0.134116807090079,0.000000000000000
2,28,0.596376980800747,0.517950433691026,0.429081728523962,0.342729342571109,0.506289569737417,0.008859341707008,0.009128300417637,0.006890593330254,0.108767593779352,0.198918377251121,0.033314665462721,0.127831558314491,0.000000000000000
2,29,0.603670383662892,0.527333756197295,0.429932646876251,0.349038155230270,0.514414923688696,0.009496816366455,0.009522029832339,0.007194125353713,0.112514270134011,0.200525447944671,0.025082126653313,0.121250260026801,0.000000000000000
2,30,0.607557312652718,0.539770880060183,0.430813972687587,0.363124380364825,0.521542263654028,0.009963414493433,0.009797644111598,0.007303623470307,0.114560015893607,0.201413734909688,0.019674786126687,0.115744517340651,0.000000000000000
2,31,0.617570513399742,0.560554603137642,0.432004741073618,0.338534406833595,0.529764547106218,0.010398018235768,0.010049511765106,0.007274830304909,0.115384183621975,0.200977678331674,0.015271068345543,0.110880162288808,0.000000000000000
2,32,0.632865350419078,0.549605465763790,0.455064206480012,0.368313889298341,0.538934062261452,0.010865485044555,0.010290916535933,0.007169085433897,0.115532682417863,0.199635469937848,0.012111919467913,0.105460378900539,0.000000000000000
2,33,0.648372806475351,0.592444233594119,0.456880743287772,0.377518301558691,0.548632932754428,0.011369723617134,0.010486231611621,0.007018868349630,0.115081105213352,0.198237818557826,0.009747361981627,0.099425957914382,0.000000000000000
2,34,0.647510589328359,0.581883844424398,0.472833240748776,0.383551431940203,0.558219641008389,0.011900285139024,0.010597965781205,0.006859507778902,0.114499257566743,0.197851370907150,0.007949357752624,0.092122614065963,0.000000000000000
2,35,0.659734734192258,0.603064725758544,0.466206493136398,0.395216043627981,0.567921966472729,0.012403909107567,0.010666479052835,0.006721925969802,0.113691781658912,0.198586440152697,0.006431926726927,0.083575570858533,0.000000000000000
2,36,0.675935363220664,0.592367417012698,0.485221089637683,0.371970557425635,0.578022966686092,0.012845864472045,0.010715981618668,0.006628830485039,0.112670279205511,0.199983644664486,0.004970495089306,0.074161937778854,0.000000000000000
2,37,0.690523491125913,0.616012883302138,0.475073367346513,0.400194992145547,0.588337185260550,0.013236865521925,0.010787481569286,0.006563605450113,0.111911324030542,0.201061791891820,0.003554517894184,0.064547228381581,0.000000000000000
2,38,0.701134773189281,0.609811960831167,0.462391138157570,0.379948254584680,0.598134440941430,0.013626578592162,0.010887147112125,0.006513894895197,0.111512256467246,0.201222587545489,0.002439284477384,0.055663809968967,0.000000000000000
2,39,0.710451341564603,0.613577010267005,0.477203591742464,0.379541812926658,0.605750400850875,0.014033847057553,0.010996737185164,0.006472342341393,0.111726069213676,0.201113912026369,0.001780018583535,0.048126672741435,0.000000000000000
2,40,0.723423756801805,0.601989620027805,0.483287191718364,0.381312145605913,0.609978781939079,0.014467556043713,0.011053931195034,0.006429739130434,0.112706131556703,0.201622915587790,0.001461932341709,0.042279012205538,0.000000000000000
2,41,0.731181904011930,0.625314480370792,0.475404376853517,0.366175539404460,0.612427826196976,0.014887012128395,0.011032040266009,0.006376357963356,0.113999009360587,0.202289072340256,0.001276276919729,0.037712404824693,0.000000000000000
2,42,0.736515172148016,0.608248519637939,0.487864237135712,0.351501700677913,0.614457540189170,0.015237733360908,0.010925567008656,0.006321065329049,0.115619962541937,0.202435646894745,0.001107362909664,0.033895121765872,0.000000000000000
2,43,0.743388971963752,0.612812232709635,0.482542245081462,0.383899577204352,0.616400505781647,0.015467349921424,0.010767681009410,0.006264064253926,0.117367378625152,0.201940949497463,0.000921731090806,0.030870339820173,0.000000000000000
