”N—î,—L”z‹ô—¦
20,0.01061189185034290
21,0.02001856581287990
22,0.03979615861436610
23,0.05782643429345140
24,0.07903663049527110
25,0.10269027408090000
26,0.12843156815762200
27,0.15626051272543800
28,0.19153330341711000
29,0.22979540408224000
30,0.27104681472082700
31,0.30766290540240000
32,0.33964367612695900
33,0.35964993277337200
34,0.37436208972456300
35,0.38378014698053400
36,0.39317447464199800
37,0.40254507270895400
38,0.41740627639239300
39,0.43241961206727200
40,0.44758507973359100
41,0.45952811047753300
42,0.46824870429910000
43,0.46821194726321100
44,0.46491604396903400
45,0.45836099441656900
46,0.45433353590416600
47,0.45283366843182600
48,0.45889032917769300
49,0.46748210520431600
50,0.47860899651169500
51,0.48995853068154400
52,0.50153070771386200
53,0.51030405066834700
54,0.51923941311329300
55,0.52833679504870200
56,0.53962415010855500
57,0.55310147829285500
58,0.57549793419331000
59,0.60029921211779400
60,0.62750531206630800
61,0.64907703262781800
62,0.66501437380232500
63,0.66597108877563700
64,0.66114929753631600
65,0.65054900008436200
66,0.63974909174823900
67,0.62812342194319300
68,0.62086227643740300
69,0.61121024689298400
